"principio_attivo","principio_attivo_confezione","atc","id","farmaco","farmaco_confezione",
"Acarbosio","40 UNITA' 100 MG - USO ORALE","A10BF01",39716182,"ACARBOSIO TECNIGEN","""100 MG COMPRESSE"" 40 COMPRESSE IN BLISTER PVC/PCTFE/PVC/AL",
"Acarbosio","40 UNITA' 100 MG - USO ORALE","A10BF01",38835144,"ACARPHAGE","""100 MG COMPRESSE"" 40 COMPRESSE IN BLISTER AL/AL",
"Acarbosio","40 UNITA' 100 MG - USO ORALE","A10BF01",29532013,"GLICOBASE","""100 MG COMPRESSE"" 40 COMPRESSE",
"Acarbosio","40 UNITA' 100 MG - USO ORALE","A10BF01",26851016,"GLUCOBAY","""100 MG COMPRESSE"" 40 COMPRESSE",
"Acarbosio","40 UNITA' 50 MG - USO ORALE","A10BF01",39716170,"ACARBOSIO TECNIGEN","""50 MG COMPRESSE"" 40 COMPRESSE IN BLISTER PVC/PCTFE/PVC/AL",
"Acarbosio","40 UNITA' 50 MG - USO ORALE","A10BF01",38835043,"ACARPHAGE","""50 MG COMPRESSE"" 40 COMPRESSE IN BLISTER AL/AL",
"Acarbosio","40 UNITA' 50 MG - USO ORALE","A10BF01",26851028,"GLUCOBAY","""50 MG COMPRESSE"" 40 COMPRESSE",
"Aciclovir","100 ML 8% - USO ORALE","J05AB01",28614129,"ACICLIN","8% SOSPENSIONE ORALE 1 FLACONE 100 ML",
"Aciclovir","100 ML 8% - USO ORALE","J05AB01",28467049,"ACICLOVIR","1 FLACONE SCIROPPO 100 ML 8%",
"Aciclovir","100 ML 8% - USO ORALE","J05AB01",32307035,"ACICLOVIR","""8% SOSPENSIONE ORALE"" 1 FLACONE 100 ML",
"Aciclovir","100 ML 8% - USO ORALE","J05AB01",33551060,"ACICLOVIR","FLACONE 100 ML SOSPENSIONE ORALE 8%",
"Aciclovir","100 ML 8% - USO ORALE","J05AB01",33731035,"ACICLOVIR","""8% SOSPENSIONE ORALE"" FLACONE 100 ML",
"Aciclovir","100 ML 8% - USO ORALE","J05AB01",33482023,"ACICLOVIR ABC","""8% SOSPENSIONE ORALE"" FLACONE DA 100 ML",
"Aciclovir","100 ML 8% - USO ORALE","J05AB01",35853023,"ACICLOVIR ACTAVIS","""400 MG/5ML SOSPENSIONE ORALE"" 1 FLACONE 100 ML",
"Aciclovir","100 ML 8% - USO ORALE","J05AB01",33868023,"ACICLOVIR ALMUS","""8% SOSPENSIONE ORALE"" FLACONE DA 100 ML",
"Aciclovir","100 ML 8% - USO ORALE","J05AB01",36035032,"ACICLOVIR AUROBINDO","""400 MG/5 ML SOSPENSIONE ORALE"" FLACONE 100 ML",
"Aciclovir","100 ML 8% - USO ORALE","J05AB01",33429022,"ACICLOVIR GERMED","""8% SOSPENSIONE ORALE"" FLACONE DA 100 ML SOSPENSIONE ORALE",
"Aciclovir","100 ML 8% - USO ORALE","J05AB01",34738056,"ACICLOVIR MYLAN GENERICS","""400 MG/5 ML SOSPENSIONE PER USO ORALE"" 1 FLACONE 100 ML",
"Aciclovir","100 ML 8% - USO ORALE","J05AB01",32927067,"ACICLOVIR RANBAXY","""400 MG/5 ML SOSPENSIONE PER USO ORALE"" 1 FLACONE 100ML",
"Aciclovir","100 ML 8% - USO ORALE","J05AB01",33471020,"AMODIVYR","""8 % SOSPENSIONE ORALE"" FLACONE DA 100 ML",
"Aciclovir","100 ML 8% - USO ORALE","J05AB01",25299088,"CYCLOVIRAN","1 FLACONE SOSPENSIONE 100 ML 8%",
"Aciclovir","100 ML 8% - USO ORALE","J05AB01",27534116,"EFRIVIRAL","""8 G/100ML SOSPENSIONE ORALE"" FLACONE DA 100ML",
"Aciclovir","100 ML 8% - USO ORALE","J05AB01",28338059,"ESAVIR","SOSPENSIONE 100 ML 8%",
"Aciclovir","100 ML 8% - USO ORALE","J05AB01",28425039,"NEVIRAN","1 FLACONE SOSPENSIONE OS 8% 100 ML",
"Aciclovir","100 ML 8% - USO ORALE","J05AB01",25298086,"ZOVIRAX","1 FLACONE SOSPENSIONE PER USO ORALE 100 ML 8%",
"Aciclovir","25 UNITA' 200 MG - USO ORALE","J05AB01",32307011,"ACICLOVIR","""200 MG COMPRESSE"" BLISTER 25 COMPRESSE",
"Aciclovir","25 UNITA' 200 MG - USO ORALE","J05AB01",33410010,"ACICLOVIR","""200"" ASTUCCIO 25 COMPRESSE USO ORALE 200 MG",
"Aciclovir","25 UNITA' 200 MG - USO ORALE","J05AB01",34070019,"ACICLOVIR GERMED PHARMA","""200 MG COMPRESSE"" 25 COMPRESSE",
"Aciclovir","25 UNITA' 200 MG - USO ORALE","J05AB01",25299052,"CYCLOVIRAN","25 COMPRESSE 200 MG",
"Aciclovir","25 UNITA' 200 MG - USO ORALE","J05AB01",25298050,"ZOVIRAX","25 COMPRESSE 200 MG",
"Aciclovir","25 UNITA' 400 MG - USO ORALE","J05AB01",28614055,"ACICLIN","""400 MG COMPRESSE"" 25 COMPRESSE",
"Aciclovir","25 UNITA' 400 MG - USO ORALE","J05AB01",28467037,"ACICLOVIR","25 COMPRESSE 400 MG",
"Aciclovir","25 UNITA' 400 MG - USO ORALE","J05AB01",32307023,"ACICLOVIR","""400 MG COMPRESSE"" BLISTER 25 COMPRESSE",
"Aciclovir","25 UNITA' 400 MG - USO ORALE","J05AB01",33551021,"ACICLOVIR","25 COMPRESSE 400 MG",
"Aciclovir","25 UNITA' 400 MG - USO ORALE","J05AB01",33731011,"ACICLOVIR","""400 MG COMPRESSE"" 25 COMPRESSE",
"Aciclovir","25 UNITA' 400 MG - USO ORALE","J05AB01",33410022,"ACICLOVIR","""400""ASTUCCIO 25 COMPRESSE USO ORALE 400 MG",
"Aciclovir","25 UNITA' 400 MG - USO ORALE","J05AB01",37290018,"ACICLOVIR FIDIA","""400 MG COMPRESSE"" 25 COMPRESSE",
"Aciclovir","25 UNITA' 400 MG - USO ORALE","J05AB01",34070021,"ACICLOVIR GERMED PHARMA","""400 MG COMPRESSE"" 25 COMPRESSE",
"Aciclovir","25 UNITA' 400 MG - USO ORALE","J05AB01",34738031,"ACICLOVIR MYLAN GENERICS","""400 MG COMPRESSE"" 25 COMPRESSE",
"Aciclovir","25 UNITA' 400 MG - USO ORALE","J05AB01",32927030,"ACICLOVIR RANBAXY","25 COMPRESSE 400 MG",
"Aciclovir","25 UNITA' 400 MG - USO ORALE","J05AB01",28920039,"CIVRAL","""400 MG COMPRESSE"" 25 COMPRESSE",
"Aciclovir","25 UNITA' 400 MG - USO ORALE","J05AB01",25299076,"CYCLOVIRAN","25 COMPRESSE 400 MG",
"Aciclovir","25 UNITA' 400 MG - USO ORALE","J05AB01",25298074,"ZOVIRAX","25 COMPRESSE 400 MG",
"Aciclovir","25 UNITA' 800 MG - USO ORALE","J05AB01",28425066,"NEVIRAN","BLISTER 25 COMPRESSE 800 MG",
"Aciclovir","3 UNITA' 250 MG - USO PARENTERALE","J05AB01",33209014,"SANAVIR","""250 MG POLVERE PER SOLUZIONE PER INFUSIONE ENDOVENOSA"" 3 FLACONI",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",28614081,"ACICLIN","""800 MG COMPRESSE"" 35 COMPRESSE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",28467064,"ACICLOVIR","""800 MG"" BLISTER 35 COMPRESSE 800 MG USO ORALE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",32307086,"ACICLOVIR","""800 MG COMPRESSE"" 35 COMPRESSE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",33551072,"ACICLOVIR","""800 MG COMPRESSE"" 35 COMPRESSE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",33731050,"ACICLOVIR","""800 MG COMPRESSE"" 35 COMPRESSE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",33482047,"ACICLOVIR ABC","""800 MG COMPRESSE"" 35 COMPRESSE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",35853011,"ACICLOVIR ACTAVIS","""800 MG COMPRESSE"" 35 COMPRESSE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",33868011,"ACICLOVIR ALMUS","""800 MG COMPRESSE"" TUBO 35 COMPRESSE USO ORALE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",36110017,"ACICLOVIR ALTER","""800 MG COMPRESSE"" 35 COMPRESSE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",33410046,"ACICLOVIR ALTERNA","""800 MG COMPRESSE"" 35 COMPRESSE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",36035018,"ACICLOVIR AUROBINDO","""800 MG COMPRESSE"" 35 COMPRESSE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",37290020,"ACICLOVIR FIDIA","""800 MG COMPRESSE"" 35 COMPRESSE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",33429046,"ACICLOVIR GERMED","""800 MG COMPRESSE"" 35 COMPRESSE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",34738043,"ACICLOVIR MYLAN GENERICS","""800 MG COMPRESSE"" 35 COMPRESSE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",34583031,"ACICLOVIR PENSA","""800 MG COMPRESSE"" 35 COMPRESSE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",32927055,"ACICLOVIR RANBAXY","35 COMPRESSE 800 MG",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",35005014,"ACICLOVIR TS","""800 MG COMPRESSE"" 35 COMPRESSE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",33471018,"AMODIVYR","""800 MG COMPRESSE"" 35 COMPRESSE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",28619031,"AVIX","""800 MG COMPRESSE"" 35 COMPRESSE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",28528077,"CITIVIR","""800 MG COMPRESSE"" 35 COMPRESSE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",25299126,"CYCLOVIRAN","35 COMPRESSE 800 MG",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",28242093,"DRAVYR","""800 MG COMPRESSE"" 35 COMPRESSE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",27534128,"EFRIVIRAL","""800 MG COMPRESSE"" 35 COMPRESSE",
