"branca","nota","id","descrizione","tariffa"
"ONCOLOGIA","H",03.08.00,"INIEZIONE DI FARMACI CITOTOSSICI NEL CANALE VERTEBRALE 
Iniezione endorachide di antiblastici","51,65"
"ANESTESIA","H",04.31.00,"INIEZIONE DI ANESTETICO NEL CANALE VERTEBRALE PER ANALGESIA 
Iniezione peridurale  
Escluso: il caso in cui l' anestesia sia effettuata per intervento","103,3"
"NEUROCHIRURGIA","H",04.31.00,"INIEZIONE DI ANESTETICO NEL CANALE VERTEBRALE PER ANALGESIA 
Iniezione peridurale  
Escluso: il caso in cui l' anestesia sia effettuata per intervento","103,3"
"NEUROCHIRURGIA","H",04.32.00,"INIEZIONE DI ALTRI FARMACI NEL CANALE VERTEBRALE 
Iniezione intratecale [endorachide] di steroidi  
Escluso: Iniezione di liquido di contrasto per mielogramma, Iniezione di farmaco citotossico nel canale vertebrale (03.8)","103,3"
"ORTOPEDIA E TRAUMATOLOGIA",,04.07.01,"RESEZIONE O ASPORTAZIONE DEI NERVI PERIFERICI 
Curettage, sbrigliamento, resezione di nervo periferico (o di relativa lesione)  
Asportazione di neuroma periferico  
Escluso: Biopsia di nervo periferico (04.11.1)","51,15"
"NEUROCHIRURGIA",,04.11.01,"BIOPSIA [PERCUTANEA][AGOBIOPSIA] DEI NERVI PERIFERICI","51,15"
"NEUROCHIRURGIA","IH",04.44.00,"LIBERAZIONE DEL TUNNEL TARSALE. 
Incluso: Visita anestesiologica ed anestesia, esami pre intervento, intervento, medicazioni, rimozione punti, visita di controllo",1800
"ORTOPEDIA E TRAUMATOLOGIA","IH",04.44.00,"LIBERAZIONE DEL TUNNEL TARSALE. 
Incluso: Visita anestesiologica ed anestesia, esami pre intervento, intervento, medicazioni, rimozione punti, visita di controllo",1800
"NEUROCHIRURGIA","IH",04.49.00,"LIBERAZIONE DEL TUNNEL CUBITALE, DI SCIATICO POPLITEO ESTERNO (SPE) AL CAPITELLO PERONEALE. 
Incluso: Visita anestesiologica ed anestesia, esami pre intervento, intervento, medicazioni, rimozione punti, visita di controllo",1300
"ORTOPEDIA E TRAUMATOLOGIA","IH",04.49.00,"LIBERAZIONE DEL TUNNEL CUBITALE, DI SCIATICO POPLITEO ESTERNO (SPE) AL CAPITELLO PERONEALE. 
Incluso: Visita anestesiologica ed anestesia, esami pre intervento, intervento, medicazioni, rimozione punti, visita di controllo",1300
